creator_tx_hash,creator_epoch,creator_time_utc,total_to_bridge_ada,feeder_address,exchange_corpus_hit_count
860fbcc180bb28d218f72cca5f8e045cd0d11d90a05d92798335445fd7ea4fd5,196,2020-06-03 17:31:31,999504.833984,Ae2tdPwUPEZAEHa41LLX4k4jLGqRBr5arXpyd7PypA9YB95PqM9G4sPi9bP,0
82ae9465ee58d7607579e4ee45e2be76d07405d7b0759cfc910c5b9dd20fa2f4,199,2020-06-16 13:55:31,279302.521853,Ae2tdPwUPEZ4g7JvFeYCYnU5g661AvD5ZdTr3QrBexRRkd9mqFcsY6pkzbr,0
198c3893fe6b5a58dea8cc707085e595cca1984de9532e450fd0d28f0b7a014b,236,2020-12-17 20:13:48,173757.559520,Ae2tdPwUPEYzeT2ntzT5nPz2tgwwuBVo5CpW6v3MdZupx9CuXZcCFiTTtLz,0
0313ba62ef5cd4d6a665d33dbbbaf650afcce409455f481f05e64a271851fef0,232,2020-11-28 18:20:41,126747.442726,Ae2tdPwUPEZMSvwf8zCMMSoHWUUNStF9tMwf7nzkba3dtwFYygP31pxQffm,0
adf39b4331cbc526aeef6158e4e72bb96197551e884070a2e17ec1b6fc31e9e5,228,2020-11-07 14:35:56,80339.702894,Ae2tdPwUPEZ8m1m4RC5x8ie8yNUZEetXgpgTCogafDWgGFev6ZtmGKwmx2M,0
4ab2a1afc7534b2a8b06e4de3a486915229a0f11808e45877e49df796a1c7731,201,2020-06-26 05:01:31,74652.486984,Ae2tdPwUPEZ5DMjPbueTKigw5SbaACnBkVTznj83fk3Xu7ThcvSajhwLeJ1,0
f51f51fbfb2b36e61aa8593e731652af3b6fed7e493b5b6681c5aa074da3b703,197,2020-06-09 09:39:11,74173.484684,Ae2tdPwUPEYvyJBSjzSRPeqFn3K5L594Y6bdsdZG3nYrkCydLm2ho9mmN55,0
f393a4d21f3baf1508a9d0448068798b4c8e89bdcd20ae326b231f40365e35a2,233,2020-12-04 11:37:41,61243.396519,Ae2tdPwUPEZEv45VBiU6D9NDkMCgUnRAGTyRLNtHrDrtYJ9MxToyn3mz2PJ,0
83ab5628dffab10fd40207bea02482e3b32590257046d0219f373457c2d5b4ca,198,2020-06-12 20:36:31,50769.833984,Ae2tdPwUPEZ33J1L1jvwL33dRG3WEWVPa6BZKvCmkyVhj8Gpjr3DkUu2BbU,0
3cf4cd28d947ef66f2fd75ff8e0a8a5b55cbb53756a29de4de2c35bebc5c04a7,196,2020-06-03 18:38:11,49999.833984,Ae2tdPwUPEZGJpxivQLTCKAV3AdAjveng8HJHDCa6cqUXaHozJ8mcs4TQhr,0
187e79da79ec0de3794df6df8dc85a7a2e98b4194eda71deb107592e5fcbaeb9,220,2020-10-02 05:31:24,49999.796519,Ae2tdPwUPEZ4Xz41NEyERw7owKXh53ePTsCQFm4LaBCLjnh5Rv16wHVgUCc,0
5e0bd950a2ca59e6ee48c647b7f7c4c25eb051c070b665be6adb837e2544d8ee,232,2020-12-01 19:54:09,41665.496519,Ae2tdPwUPEZKcWWSLT5Dn63iYTyQkq87NBKLqmqfrkrVVi5oCzfTcvQr7GY,0
b59810a194f295507ef503b61dc9aef227fad3436160764e42edac27050fd1c4,239,2021-01-01 16:21:01,39999.796519,Ae2tdPwUPEYy28evDF3rhyKqEyCw1BYVCKPwdGeWf285hm4SSoJ1CcrQyh4,0
cf3bb2424eb00e5c4a66bc7fb5545f1d2d59695b5fe92f774f71f92192c6c7c1,227,2020-11-06 04:42:11,39997.796519,Ae2tdPwUPEZKA86wn7xe889vh3AF4DQDZ1SjR4suteW9xXenQxPtwH24egy,0
1bfc9252f8d53bfd7f7be3b2efdcc59c16e8a2671a1e7eea81ba68f317e20cc7,201,2020-06-29 00:26:31,39465.761984,Ae2tdPwUPEZ9shooAi5fHzWdPSwkzciGkqUpkaBU5LrENh8mhQA85wLcst5,0
9bbf63c4d935f7fe6ce585c4f0dc9c8e75ef3640dfc64176b13646621affaeba,203,2020-07-09 18:55:51,39384.833984,Ae2tdPwUPEZ2bBnrusW9Y6r7nZz8vi9SNg2cePecwcmHr8CmkPCVpaoV28M,0
2983cc1bb9e7365da72a33e132df9dd1aa882fe2ad25a23ba0918a1fea1ce2c9,231,2020-11-23 15:24:00,31492.596519,Ae2tdPwUPEZGcX3sVnrjruaNrtWcmgLDCy27JTKWwGvGrUcDb5ZQ4j51FVP,0
4af434a4939daf53c1b32868238cf929884eaad012fda9827dcf1a80a80ae960,240,2021-01-07 05:13:23,29089.753789,Ae2tdPwUPEYxHKnZ9QdN7MFA8N1VpJipxrVik5M6RDrns223mBx5ZfoKbXB,0
79b32f18a5c325c7844f6a97f0b093de976af768212f1792059a91b9c96c1ad8,198,2020-06-14 11:39:51,27065.666693,Ae2tdPwUPEZG4Fc9CKBNWkR3Yh3zdGPKGvsgeFEyUfiZri2Kiz7jxWF6cVR,0
0dcc90d69eeccbe1ea1a39e2af6bdd6654f9b9420717c5b3cbd76bdcce89c5d7,230,2020-11-20 14:49:59,26828.939519,Ae2tdPwUPEYyp7ypQ7GrWRz83cDTgHUqfLKTGapj8QFyisV2rG7LVTPxB34,0
