lovelace,output_count,total_lovelace,total_ada
1000000000000,5,5000000000000,5000000
4998796519,2,9997593038,9.997593038
2499797119,2,4999594238,4.999594238
499797119,2,999594238,0.999594238
199797119,2,399594238,0.399594238
99834159,2,199668318,0.199668318
98834159,2,197668318,0.197668318
999504833984,1,999504833984,999504.833984
960995860697,1,960995860697,960995.860697
910915170105,1,910915170105,910915.170105
840017170169,1,840017170169,840017.170169
774300804476,1,774300804476,774300.804476
752149646189,1,752149646189,752149.646189
725035193539,1,725035193539,725035.193539
724104660822,1,724104660822,724104.660822
709173825515,1,709173825515,709173.825515
689267305469,1,689267305469,689267.305469
665703201301,1,665703201301,665703.201301
658005843019,1,658005843019,658005.843019
646845558540,1,646845558540,646845.55854
