creator_tx_hash,creator_epoch,creator_time_utc,input_count,total_to_bridge_ada,creator_total_input_ada,fee_ada,fee_bps,top1_input_ada,top1_pct,top5_pct,top10_pct,lt_100_count,lt_1000_count,lt_10000_count,between_10k_100k_count,gte_100k_count,exact_10_count,exact_100_count,exact_1000_count,exact_5000_count
2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97,240,2021-01-08 02:44:53,37,520930.145997,520931.201778,1.055781,0.020,101764.160332,19.54,84.47,92.52,3,15,31,3,3,1,0,0,1
5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9,242,2021-01-19 15:16:49,80,401732.169821,401734.259552,2.089731,0.052,107197.000000,26.68,60.87,76.48,12,42,72,7,1,1,1,3,1
6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab,244,2021-01-28 11:21:35,80,337076.223902,337078.395833,2.171931,0.064,70000.000000,20.77,64.25,78.29,14,41,74,6,0,1,0,2,0
2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546,244,2021-01-29 19:17:40,80,317125.487912,317127.619193,2.131281,0.067,105081.801453,33.14,73.80,83.73,7,54,76,3,1,0,1,0,0
d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9,244,2021-01-30 19:56:55,80,217929.138149,217931.351180,2.213031,0.102,60000.000000,27.53,63.60,77.93,15,56,76,4,0,1,0,1,0
c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0,245,2021-02-02 22:34:08,80,204208.051193,204210.140774,2.089581,0.102,37990.000000,18.60,42.87,57.34,9,46,76,4,0,1,1,1,2
ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db,246,2021-02-05 11:36:20,80,447898.784525,447900.956456,2.171931,0.048,148253.396200,33.10,74.82,84.07,11,49,74,4,2,0,1,0,0
9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24,246,2021-02-07 01:32:25,80,142957.111593,142959.201624,2.090031,0.146,63999.000000,44.77,66.71,78.32,22,59,77,3,0,3,2,2,1
b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b,247,2021-02-12 18:47:48,80,115001.233684,115003.406665,2.172981,0.189,25000.000000,21.74,53.71,71.39,18,61,77,3,0,3,0,0,0
303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8,248,2021-02-18 18:14:29,80,78173.370808,78175.481389,2.110581,0.270,9996.616550,12.79,44.75,65.49,21,61,80,0,0,0,4,1,1
5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d,248,2021-02-19 02:00:51,80,144756.654808,144758.867989,2.213181,0.153,23205.614076,16.03,52.78,71.73,18,53,76,4,0,1,0,2,2
99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed,249,2021-02-21 20:43:59,80,128866.970372,128869.122653,2.152281,0.167,48258.622886,37.45,66.36,79.07,24,61,78,2,0,0,2,0,1
